Transaction_Date	ID	First_Name	Last_Name	Birth_Date	Sex	Income
2015-01-01	51	Akshitsinh	Slocum	1989-09-29	11	86686
2015-01-01	52	Ariyya	al-Nasir	1989-11-16	12	24793
2015-01-01	53	Pwint	Lynn	1965-03-08	11	93716
2015-01-01	54	Kayla	Scott	1960-01-14	11	58287
2015-01-01	55	Raaniya	Trujillo	1996-07-03	11	72413
2015-01-01	56	Vanessa	Soh	1980-02-18	11	93022
2015-01-01	57	May	el-Othman	1950-10-11	11	39822
2015-01-01	58	Malik	Ho	1980-11-06	11	27701
2015-01-01	59	Kara	Velie	1971-08-29	12	45570
2015-01-01	60	Christian	Palomo	1973-11-26	11	35709
2015-01-01	61	Rosalina	Roaf	1965-08-27	12	89923
2015-01-01	62	Naqaa	Wall	1991-08-21	12	27546
2015-01-01	63	Irving	Chacon Banda	1979-08-18	11	15995
2015-01-01	64	Cheyenne	Gideon	1991-01-03	12	31587
2015-01-01	65	Haashid	Walker	1965-10-16	11	46523
2015-01-01	66	Jaden	Cosby Lee	1986-10-26	12	22534
2015-01-01	67	Cheyenne	Dehart	1956-03-14	12	18382
2015-01-01	68	Christianna	Franklin	1968-03-07	12	70367
2015-01-01	69	Deaushanay	King	1993-04-02	12	82717
2015-01-01	70	Fareeda	al-Bagheri	1976-07-08	12	32184
2015-01-01	71	Skylar	Martinez	1971-11-18	11	89573
2015-01-01	72	Stephen	Brady	1999-05-31	11	91633
2015-01-01	73	Erik	Ingram	1974-02-26	11	55075
2015-01-01	74	Mamdooh	Blackmore	1963-10-16	11	81846
2015-01-01	75	Ryan	el-Saad	1951-11-24	11	55908
2015-01-01	76	Shafeeqa	al-Ayub	1994-02-16	12	55609
2015-01-01	77	Melissa	Shahi	1962-01-23	12	68633
2015-01-01	78	Brittany	Martinez	1956-01-04	12	84217
2015-01-01	79	Emanuel	Tran	1964-08-28	11	27046
2015-01-01	80	Der	Miller	1977-03-27	12	90589
2015-01-01	81	Charles	Spearman	1953-10-08	11	70969
2015-01-01	82	Alexandra	Gowen	1989-10-29	12	80965
